Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x15,FFC_0.5-14P_CTXJ-H2.0_1,10.650000,-53.350000,270.000000,bottom
C1,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,5.200000,-15.900000,-90.000000,top
C2,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,20.680000,-25.200000,0.000000,top
C3,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,12.000000,-16.280000,90.000000,top
C4,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,11.120000,-20.600000,180.000000,top
C5,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,17.185699,-25.677711,-90.000000,top
C6,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,23.000000,-20.600000,0.000000,top
C7,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,23.000000,-16.600000,0.000000,top
C8,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,17.000000,-14.000000,90.000000,top
C9,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,18.000000,-13.750000,90.000000,top
C10,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,23.000000,-15.600000,0.000000,top
C11,2.2uF/6.3V/20%/X5R/C0402,C_0402_1005Metric,21.600000,-14.000000,90.000000,top
C12,2.2uF/6.3V/20%/X5R/C0402,C_0402_1005Metric,20.600000,-14.000000,90.000000,top
C13,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,18.200000,-25.680000,-90.000000,top
C14,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,15.540000,-13.150000,90.000000,top
C15,18pF/50V/5%/C0G/C0402,C_0402_1005Metric,16.200000,-28.680000,90.000000,top
C16,18pF/50V/5%/C0G/C0402,C_0402_1005Metric,11.400000,-27.200000,-90.000000,top
C17,100nF/10V/20%/X5R/C0402,C_0402_1005Metric,6.280000,-23.500000,180.000000,top
C18,0.1uF,C_0402_1005Metric,21.792751,-50.104876,90.000000,top
C19,1uF,C_0402_1005Metric,22.800000,-58.370000,-90.000000,top
C20,1uF,C_0402_1005Metric,17.472751,-54.024876,180.000000,top
C21,1uF,C_0402_1005Metric,9.690000,-42.700000,90.000000,top
C22,22.0uF,CP_EIA-3216-10_Kemet-I,13.400000,-90.000000,90.000000,top
C23,22.0uF,CP_EIA-3216-10_Kemet-I,20.150000,-91.000000,0.000000,top
C24,100nF,C_0603_1608Metric,11.600000,-94.300000,90.000000,top
C25,100nF,C_0603_1608Metric,20.725000,-93.100000,180.000000,top
C26,0.1uF,C_0402_1005Metric,5.200000,-20.120000,-90.000000,top
C30,100nF,C_0603_1608Metric,20.750000,-82.323500,90.000000,top
C31,100pF,C_0603_1608Metric,20.025000,-84.650000,180.000000,top
C32,22.0uF,CP_EIA-3216-10_Kemet-I,28.400000,-77.100000,90.000000,top
C33,22.0uF,CP_EIA-3216-10_Kemet-I,15.950000,-40.400000,270.000000,top
C34,100nF,C_0603_1608Metric,13.850000,-40.925000,90.000000,top
C35,100nF,C_0603_1608Metric,30.350000,-76.275000,-90.000000,top
C36,22.0uF,CP_EIA-3216-10_Kemet-I,27.800000,-84.450000,180.000000,top
D1,1N4007FL,D_SOD-123F,15.600000,-6.600000,90.000000,top
D2,1N4007FL,D_SOD-123F,16.100000,-90.400000,-90.000000,top
D3,1N4007FL,D_SOD-123F,16.100000,-100.200000,90.000000,top
D4,1N4007FL,D_SOD-123F,2.390000,-38.700000,180.000000,top
D5,1N4007FL,D_SOD-123F,7.490000,-38.700000,0.000000,top
D6,1N4007FL,D_SOD-123F,24.200000,-88.950000,-90.000000,top
D8,LED 0402 RED,LED_0402_1005Metric,1.100000,-18.500000,180.000000,top
D9,LED 0402 RED,LED_0402_1005Metric,1.100000,-25.400000,180.000000,top
F1,15V 200mA,Fuse_0805_2012Metric,16.100000,-94.862500,90.000000,top
F2,15V 200mA,Fuse_0805_2012Metric,16.100000,-105.062500,90.000000,top
F3,15V 200mA,Fuse_0805_2012Metric,15.050000,-85.800000,0.000000,top
J2,Conn_02x06_Top_Bottom,PinSocket_2x06_P2.54mm_Horizontal,4.740000,-78.210000,0.000000,top
J3,Conn_02x06_Top_Bottom,PinSocket_2x06_P2.54mm_Horizontal,4.740000,-55.350000,0.000000,top
J4,AUDIO JACK PJ-324M0,pj324m,6.750000,-6.050000,90.000000,top
J5,AUDIO JACK PJ-324M0,pj324m,6.750000,-102.570000,90.000000,top
J6,CONN 2x5 P=2.54mm,PinHeader_2x05_P2.54mm_Horizontal,21.730000,-105.980000,180.000000,top
J7,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,2.440000,-31.710000,90.000000,top
J8,MICROMOD-2222,TE_21992304,19.425000,-64.425000,180.000000,top
J9,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,2.345000,-45.680000,90.000000,top
L1,FERRITE,L_0603_1608Metric,19.287500,-88.900000,180.000000,top
L2,FERRITE,L_0603_1608Metric,13.500000,-94.300000,-90.000000,top
L3,6.8uH 2A,L_Vishay_IHLP-2020,24.400000,-78.473500,90.000000,top
Q2,2N7002,SOT-23,6.100000,-94.500000,180.000000,top
Q3,2N7002,SOT-23,2.100000,-94.500000,180.000000,top
R1,10k,R_0402_1005Metric,21.692751,-58.334876,90.000000,top
R2,8.06k,R_0402_1005Metric,19.892751,-58.334876,90.000000,top
R3,10k/R0402,R_0402_1005Metric,5.800000,-25.150000,90.000000,top
R4,10k/R0402,R_0402_1005Metric,19.200000,-25.690000,90.000000,top
R5,100R/R0402,R_0402_1005Metric,16.162475,-25.684358,90.000000,top
R6,27R/R0402,R_0402_1005Metric,19.800000,-11.400000,-90.000000,top
R7,27R/R0402,R_0402_1005Metric,18.800000,-11.400000,-90.000000,top
R8,100R/R0402,R_0402_1005Metric,6.310000,-22.150000,0.000000,top
R9,20K,R_0402_1005Metric,8.490000,-42.700000,-90.000000,top
R10,220R,R_0402_1005Metric,15.600000,-1.910000,-90.000000,top
R11,220R,R_0402_1005Metric,9.410000,-93.200000,0.000000,top
R12,4K7,R_0402_1005Metric,7.610000,-92.100000,0.000000,top
R13,33R,R_0402_1005Metric,9.400000,-95.600000,180.000000,top
R14,10R,R_0402_1005Metric,9.390000,-94.500000,180.000000,top
R15,1K,R_0402_1005Metric,30.600000,-6.310000,90.000000,top
R16,220R,R_0402_1005Metric,30.600000,-8.600000,90.000000,top
R17,182K,R_0402_1005Metric,19.440000,-85.950000,180.000000,top
R18,62K,R_0402_1005Metric,21.000000,-86.450000,90.000000,top
R19,5.1k,R_0402_1005Metric,8.900000,-44.400000,0.000000,top
R20,5.1k,R_0402_1005Metric,8.890000,-47.300000,0.000000,top
R21,5.1k,R_0402_1005Metric,9.190000,-30.300000,0.000000,top
R22,5.1k,R_0402_1005Metric,8.990000,-34.310000,-90.000000,top
R23,10K,R_0402_1005Metric,9.190000,-29.200000,180.000000,top
R24,18K,R_0402_1005Metric,8.590000,-27.710000,-90.000000,top
R25,27R/R0402,R_0402_1005Metric,17.460000,-51.750000,180.000000,top
R26,27R/R0402,R_0402_1005Metric,17.460000,-52.890000,180.000000,top
R27,10k,R_0402_1005Metric,5.200000,-18.090000,-90.000000,top
R29,100R/R0402,R_0402_1005Metric,3.290000,-18.500000,180.000000,top
R30,100R/R0402,R_0402_1005Metric,3.290000,-25.400000,180.000000,top
SW1,Switch-SPST,SW_Tactile_SPST_Angled_TC-1109DE-B-F,2.990000,-13.700000,90.000000,top
SW2,Switch-SPST,SW_Tactile_SPST_Angled_TC-1109DE-B-F,2.990000,-20.600000,90.000000,top
