Comment,Designator,Footprint,LCSC,Quantity
PCA9635 LED DRIVER,U7,TSSOP-28_4.4x9.7mm_P0.65mm,C110795,1
1K,"R15,R5",R_0402_1005Metric,C11702,2
2.2uF,"C11,C12",C_0402_1005Metric,C12530,2
PCA9306DP,U3,TSSOP-8_3x3mm_P0.65mm,C128835,1
22uF,"C19,C20,C22,C23,C24,C26,C29,C32,C38,C42",C_1206_3216Metric,C12891,10
27R,"R6,R7",R_0402_1005Metric,C138021,2
100nF,"C27,C34,C43",C_0603_1608Metric,C14663,3
FERRITE,"L1,L2,L4,L5,L6,L7",L_0603_1608Metric,C14709,6
10n,"C18,C39,C40,C41",C_0402_1005Metric,C15195,4
15pF,"C15,C16",C_0402_1005Metric,C1548,2
0R,R46,R_0402_1005Metric,C17168,1
3V6,D4,D_SOD-123,C173412,1
AP2161W,U9,SOT-23-5,C176957,1
H11L1SR2M,U4,DIP-6_W8.89mm_SMDSocket_LongPads,C20082,1
SW_Tactile_SPST,SW2,SW_SPST_SKQG_WithStem,C202424,1
RP2040(QFN-56_7x7mm_P0.4mm),U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040,1
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
AP63200WU,U5,TSOT-23-6,C2071868,1
100R,R8,R_0402_1005Metric,C25076,1
220R,"R10,R16",R_0402_1005Metric,C25091,2
270,"R34,R35,R36,R37,R38,R39,R40,R41",R_0402_1005Metric,C25099,8
LED 0402 RED,"D10,D11,D12,D17,D18,D20,D9",LED_0402_1005Metric,C25503345,7
10K,"R13,R14,R21,R22,R23,R27,R29,R3,R30,R33,R4,R45",R_0402_1005Metric,C25744,12
18K,R24,R_0402_1005Metric,C25762,1
200K,R44,R_0402_1005Metric,C25764,1
30K,R18,R_0402_1005Metric,C25776,1
900K (910K),R20,R_0402_1005Metric,C25800,1
4K7,"R1,R2,R25,R32,R9",R_0402_1005Metric,C25900,5
5.1K,"R11,R12",R_0402_1005Metric,C25905,2
TUSB322I,U8,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,C2674422,1
3K57,R43,R_0402_1005Metric,C270609,1
74AUC1G79,,SOT-23-5,C2869706,0
TPS7A91,U10,Texas_S-PDSO-N10_EP1.2x2mm_ThermalVias,C2878140,1
~,J4,AUDIO-TH_PJ-325M,C2884942,1
Conn_02x06_Top_Bottom,"J2,J3",PinSocket_2x06_P2.54mm_Horizontal,C2897426,2
1K15,R42,R_0402_1005Metric,C29401,1
MICROMOD-2222,J8,TE_21992304,C2977809,1
0.1uF,"C1,C10,C13,C14,C17,C2,C25,C28,C3,C30,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331,16
220R,"RN1,RN2,RN3,RN4",R_Array_Convex_4x0402,C326868,4
DVI_GPDI,J10,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,C428493,1
549,R31,R_0402_1005Metric,C474081,1
CONN 2x5 P=2.54mm,J6,PinHeader_2x05_P2.54mm_Horizontal,C492433,1
1N4007FL,"D1,D2,D3",D_SOD-123F,C493190,3
ZD25WQ16CSIGT(SOIC-8_208mils),U1,SOIC-8W_5.3x5.3mm_P1.27mm,C5353597,1
Conn_01x15,J1,FFC_0.5-14P_CTXJ-H2.0_1,C5373472,1
USB_C_Receptacle_USB2.0_14P,"J5,J7",USB-C-TH_U264-141N-4BAC10,C692526,2
100pF,C31,C_0402_1005Metric,C77177,1
10uH 2A,L3,L_Vishay_IHLP-2020,C844996,1
157K (158K),R17,R_0402_1005Metric,C861679,1
15V 50mA,F3,Fuse_0805_2012Metric,C883096,1
15V 200mA,F2,Fuse_0805_2012Metric,C883103,1
16V 350mA,F1,Fuse_0805_2012Metric,C883107,1
100uF/10V,"C21,C33",CP_Elec_6.3x5.4,C88795,2
LED 0402 GREEN,"D13,D14,D16,D5,D6,D7,D8",LED_0402_1005Metric,C965793,7
